Key,Array
B00006L9LC,"[0.0, -4.336808689942018e-19, -3.3881317890172014e-21, -2.7755575615628914e-17, 0.0, 0.0, 0.0, -1.734723475976807e-18, 6.938893903907228e-18, 8.673617379884035e-19, -1.734723475976807e-18, 0.0, -5.421010862427522e-20, 0.0, 8.673617379884035e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, 1.0587911840678754e-22, 0.0, 1.734723475976807e-18, 0.0, -6.938893903907228e-18, 0.0, 0.0, 0.0, -2.710505431213761e-20, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 0.0, -2.168404344971009e-19, 0.0, -3.469446951953614e-18, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 2.117582368135751e-22, -2.117582368135751e-22, 0.0, 0.0, 3.308722450212111e-24, 5.293955920339377e-23, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 1.6940658945086007e-21, 0.0, 1.3234889800848443e-23, 3.3881317890172014e-21, 2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 8.271806125530277e-25, 0.0, -1.6940658945086007e-21, -5.293955920339377e-23, 0.0, 0.0, 0.0, -5.293955920339377e-23, -3.308722450212111e-24, 1.6940658945086007e-21, 1.6940658945086007e-21, -6.776263578034403e-21, 0.0, -4.235164736271502e-22, 0.0]"
B0006O10P4,"[0.0, 0.0, 0.0, 0.0, -1.0842021724855044e-19, 0.0, -2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, -2.117582368135751e-22, -6.776263578034403e-21, 8.271806125530277e-25, 0.0, 0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, -4.1359030627651384e-25, 1.6543612251060553e-24, -1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0, -6.617444900424222e-24, 3.308722450212111e-24, -8.271806125530277e-25, 0.0, 0.0, 8.077935669463161e-28, -6.617444900424222e-24, 0.0, 8.271806125530277e-25, 0.0, 0.0, 4.235164736271502e-22, 0.0, 6.617444900424222e-24, 0.0, 0.0, -2.0679515313825692e-25, -5.293955920339377e-23, 0.0, -2.117582368135751e-22, -5.293955920339377e-23, -2.5849394142282115e-26, 1.3234889800848443e-23, 0.0, 3.308722450212111e-24, 3.308722450212111e-24, 1.0339757656912846e-25, 0.0, -6.617444900424222e-24, 1.0587911840678754e-22, 0.0, -2.6469779601696886e-23, 0.0, 8.271806125530277e-25, -5.293955920339377e-23, 0.0, 0.0, 5.293955920339377e-23, 4.1359030627651384e-25]"
B0009RF9DW,"[0.0, 8.673617379884035e-19, 0.0, 0.0, 1.734723475976807e-18, -8.470329472543003e-22, 0.0, -1.734723475976807e-18, 2.168404344971009e-19, 2.168404344971009e-19, 0.0, 1.3877787807814457e-17, 0.0, 0.0, -4.336808689942018e-19, -2.710505431213761e-20, 1.3552527156068805e-20, 0.0, 0.0, 0.0, -2.117582368135751e-22, 4.336808689942018e-19, 0.0, 0.0, 5.421010862427522e-20, 0.0, 4.336808689942018e-19, -6.938893903907228e-18, 0.0, 0.0, 0.0, 0.0, 6.938893903907228e-18, 0.0, 0.0, 0.0, -2.168404344971009e-19, 2.168404344971009e-19, 0.0, -1.3877787807814457e-17, -8.470329472543003e-22, -5.293955920339377e-23, 0.0, -3.3881317890172014e-21, 0.0, -2.6469779601696886e-23, 2.117582368135751e-22, 0.0, -8.470329472543003e-22, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, -8.470329472543003e-22, -6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 2.117582368135751e-22, 5.293955920339377e-23, 0.0, 0.0, 0.0, -2.117582368135751e-22, 0.0, 0.0, 0.0, 3.3881317890172014e-21, -1.0587911840678754e-22, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0]"
B000FI4S1E,"[-1.3877787807814457e-17, 2.710505431213761e-20, -4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, -6.938893903907228e-18, 0.0, 1.734723475976807e-18, -1.0842021724855044e-19, 1.0842021724855044e-19, 0.0, 6.938893903907228e-18, 2.168404344971009e-19, 8.673617379884035e-19, 5.421010862427522e-20, 8.673617379884035e-19, 0.0, 0.0, 4.336808689942018e-19, 4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.938893903907228e-18, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, -1.6940658945086007e-21, -5.293955920339377e-23, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 1.6940658945086007e-21, -2.117582368135751e-22, -4.235164736271502e-22, 2.117582368135751e-22, 2.117582368135751e-22, 1.0587911840678754e-22, 1.6940658945086007e-21, 0.0, -5.293955920339377e-23, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, 4.235164736271502e-22, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, -2.117582368135751e-22, -1.0587911840678754e-22, -1.6940658945086007e-21, -8.470329472543003e-22, 3.3881317890172014e-21, 4.235164736271502e-22, 0.0, 0.0, 0.0, 3.308722450212111e-24, -2.117582368135751e-22]"
B000FOI48G,"[0.0, 1.6543612251060553e-24, 0.0, 0.0, -3.3881317890172014e-21, 0.0, -4.235164736271502e-22, -2.710505431213761e-20, 0.0, -2.117582368135751e-22, -3.308722450212111e-24, 0.0, -8.470329472543003e-22, -8.470329472543003e-22, 5.169878828456423e-26, 0.0, 2.117582368135751e-22, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 1.6543612251060553e-24, 4.235164736271502e-22, 1.3234889800848443e-23, 0.0, 2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, -4.1359030627651384e-25, 2.6469779601696886e-23, 0.0, -2.0679515313825692e-25, -1.3234889800848443e-23, 0.0, -1.0587911840678754e-22, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 2.6469779601696886e-23, -2.6469779601696886e-23, 1.0587911840678754e-22, 0.0, 0.0, -2.6469779601696886e-23, 0.0, 0.0, -1.2924697071141057e-26, -5.293955920339377e-23, 5.293955920339377e-23, 0.0, -1.3234889800848443e-23, -8.271806125530277e-25, 0.0, 0.0, -8.271806125530277e-25, -1.3234889800848443e-23, -8.271806125530277e-25, 5.169878828456423e-26, 6.617444900424222e-24, 5.293955920339377e-23]"
B000GLRREU,"[1.0842021724855044e-19, -3.3881317890172014e-21, 0.0, 0.0, -5.421010862427522e-20, 3.308722450212111e-24, 1.0842021724855044e-19, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, -2.168404344971009e-19, 0.0, 0.0, 0.0, -2.117582368135751e-22, 0.0, -1.3552527156068805e-20, -6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 3.308722450212111e-24, -5.293955920339377e-23, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 3.3881317890172014e-21, -8.470329472543003e-22, 0.0, 0.0, 0.0, -5.421010862427522e-20, 0.0, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 1.3234889800848443e-23, -6.617444900424222e-24, 2.117582368135751e-22, 0.0, 0.0, -1.6543612251060553e-24, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0, -8.271806125530277e-25, 1.2924697071141057e-26, 0.0, 0.0, 0.0, -1.3234889800848443e-23, 0.0, -6.617444900424222e-24, -1.3234889800848443e-23, 1.3234889800848443e-23, -2.6469779601696886e-23, -6.617444900424222e-24, 0.0, -1.3234889800848443e-23, 6.617444900424222e-24, -1.0587911840678754e-22, -1.6543612251060553e-24, -2.6469779601696886e-23, 0.0, 0.0, 0.0, -1.6543612251060553e-24, -1.0339757656912846e-25]"
B000LIBUBY,"[0.0, 0.0, 0.0, 0.0, -1.0842021724855044e-19, 2.6469779601696886e-23, -6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.421010862427522e-20, 0.0, 0.0, 5.421010862427522e-20, -1.3552527156068805e-20, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, -1.2924697071141057e-26, -1.0587911840678754e-22, 5.293955920339377e-23, -1.3234889800848443e-23, 2.6469779601696886e-23, -2.6469779601696886e-23, -6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 2.6469779601696886e-23, 8.271806125530277e-25, 0.0, 0.0, 3.308722450212111e-24, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.169878828456423e-26, -6.617444900424222e-24, 0.0, -5.293955920339377e-23, -2.117582368135751e-22, 0.0, 8.271806125530277e-25, 0.0, 1.6543612251060553e-24, -1.6543612251060553e-24, 0.0, -2.6469779601696886e-23, 0.0, 8.271806125530277e-25, 2.6469779601696886e-23]"
B000NKJIXM,"[2.168404344971009e-19, 1.0842021724855044e-19, 5.293955920339377e-23, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, -5.421010862427522e-20, -2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, 0.0, 0.0, 8.470329472543003e-22, 1.3552527156068805e-20, -6.776263578034403e-21, 0.0, 0.0, 2.117582368135751e-22, -8.673617379884035e-19, 0.0, 2.6469779601696886e-23, -1.3234889800848443e-23, -3.308722450212111e-24, -1.0339757656912846e-25, 0.0, -5.293955920339377e-23, 0.0, 0.0, -1.3234889800848443e-23, 5.293955920339377e-23, 0.0, -1.3234889800848443e-23, -2.117582368135751e-22, 0.0, 5.293955920339377e-23, 0.0, 0.0, -1.3234889800848443e-23, 0.0, -6.617444900424222e-24, 5.293955920339377e-23, -1.0587911840678754e-22, 0.0, -2.117582368135751e-22, 0.0, 0.0, 0.0, 8.271806125530277e-25, -5.293955920339377e-23, 2.6469779601696886e-23, 0.0, -1.3234889800848443e-23, -5.293955920339377e-23, 0.0, 1.6543612251060553e-24, 4.1359030627651384e-25, 0.0, -2.0679515313825692e-25, 0.0]"
B000PKKAGO,"[-1.3552527156068805e-20, 0.0, 4.235164736271502e-22, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, -5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, -8.470329472543003e-22, 0.0, -2.5849394142282115e-26, -6.617444900424222e-24, 0.0, 6.617444900424222e-24, 0.0, 0.0, 3.308722450212111e-24, 0.0, -6.310887241768095e-30, -1.3234889800848443e-23, 0.0, 2.6469779601696886e-23, 2.6469779601696886e-23, 0.0, -2.0679515313825692e-25, 0.0, 1.6155871338926322e-27, 0.0, -1.2924697071141057e-26, 0.0, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, -1.3234889800848443e-23, 0.0, 0.0, -5.293955920339377e-23, 4.1359030627651384e-25, -3.308722450212111e-24, 0.0, 8.271806125530277e-25, 0.0, 0.0, 0.0, -2.6469779601696886e-23, -1.6543612251060553e-24, -3.308722450212111e-24, 1.3234889800848443e-23]"
B000URXP6E,"[0.0, -1.734723475976807e-18, 1.734723475976807e-18, 0.0, 2.7755575615628914e-17, 0.0, -5.551115123125783e-17, 1.1102230246251565e-16, 0.0, 6.938893903907228e-18, 8.673617379884035e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.7755575615628914e-17, 0.0, 0.0, 4.235164736271502e-22, 1.3877787807814457e-17, -6.776263578034403e-21, 0.0, 0.0, 0.0, 1.734723475976807e-18, -2.7755575615628914e-17, 0.0, 1.3877787807814457e-17, 0.0, 2.710505431213761e-20, 0.0, 2.7755575615628914e-17, 0.0, 0.0, 0.0, -6.938893903907228e-18, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 4.235164736271502e-22, 2.117582368135751e-22, 4.235164736271502e-22, 0.0, 8.470329472543003e-22, -1.6940658945086007e-21, 1.3234889800848443e-23, 2.117582368135751e-22, -2.117582368135751e-22, -4.235164736271502e-22, 1.6940658945086007e-21, -6.776263578034403e-21, -8.271806125530277e-25, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 3.308722450212111e-24, 0.0, 3.3881317890172014e-21, 0.0, -2.117582368135751e-22, -1.0587911840678754e-22, -8.470329472543003e-22, 3.3881317890172014e-21, 0.0, -2.117582368135751e-22, 1.6940658945086007e-21, 1.6940658945086007e-21, 6.617444900424222e-24, 0.0, 2.117582368135751e-22, 0.0, -1.3552527156068805e-20, 1.3234889800848443e-23, 0.0]"
B000VUXCGI,"[2.117582368135751e-22, 0.0, 0.0, -3.308722450212111e-24, 0.0, 4.235164736271502e-22, 1.3234889800848443e-23, 1.6940658945086007e-21, -1.6940658945086007e-21, 6.617444900424222e-24, 3.3881317890172014e-21, 0.0, 0.0, 0.0, 5.293955920339377e-23, 0.0, 1.3234889800848443e-23, -1.6940658945086007e-21, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, -1.6543612251060553e-24, 0.0, 1.6543612251060553e-24, 2.6469779601696886e-23, -1.3552527156068805e-20, 1.6940658945086007e-21, 0.0, 2.6469779601696886e-23, 0.0, 0.0, -1.6543612251060553e-24, -8.271806125530277e-25, 6.617444900424222e-24, 0.0, -1.0587911840678754e-22, 0.0, 5.169878828456423e-26, -2.6469779601696886e-23, 0.0, 0.0, 1.3234889800848443e-23, 0.0, -2.5849394142282115e-26, 0.0, 0.0, 0.0, 0.0, -1.6543612251060553e-24, -5.293955920339377e-23, 0.0, 6.617444900424222e-24, 0.0, 0.0, 1.6543612251060553e-24, 0.0, 2.117582368135751e-22, 1.3234889800848443e-23, 4.0389678347315804e-28, -5.169878828456423e-26, -2.6469779601696886e-23, 6.617444900424222e-24, 8.271806125530277e-25, -8.271806125530277e-25, -2.6469779601696886e-23, 0.0, -5.293955920339377e-23, 3.308722450212111e-24, 1.2924697071141057e-26, -1.3234889800848443e-23, -1.2924697071141057e-26, 1.3234889800848443e-23]"
B000VV1YOY,"[0.0, 0.0, 1.0587911840678754e-22, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 6.776263578034403e-21, 2.6469779601696886e-23, 0.0, 5.293955920339377e-23, 0.0, 0.0, 8.271806125530277e-25, -4.235164736271502e-22, 0.0, -5.293955920339377e-23, -2.6469779601696886e-23, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, -2.117582368135751e-22, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, -1.3234889800848443e-23, -4.1359030627651384e-25, 2.117582368135751e-22, 1.3234889800848443e-23, 1.3234889800848443e-23, 0.0, 3.308722450212111e-24, 0.0, 1.0587911840678754e-22, -1.6543612251060553e-24, 2.0679515313825692e-25, 1.0587911840678754e-22, 0.0, -1.0587911840678754e-22, 0.0, 1.6543612251060553e-24, -1.0587911840678754e-22, -1.3234889800848443e-23, -1.0587911840678754e-22, 1.3234889800848443e-23, 8.271806125530277e-25, 0.0, -2.5849394142282115e-26, -1.3234889800848443e-23, 0.0, 2.6469779601696886e-23, 2.6469779601696886e-23, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 0.0, -1.6543612251060553e-24, 3.308722450212111e-24, 0.0]"
B0010ZBORW,"[6.938893903907228e-18, 0.0, 0.0, 8.470329472543003e-22, 0.0, -4.235164736271502e-22, -1.3877787807814457e-17, 1.3877787807814457e-17, 2.168404344971009e-19, 0.0, 6.938893903907228e-18, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, -1.3877787807814457e-17, 0.0, 0.0, 1.6940658945086007e-21, -6.776263578034403e-21, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, 2.710505431213761e-20, 0.0, 0.0, 0.0, -2.710505431213761e-20, 2.168404344971009e-19, -1.3234889800848443e-23, 0.0, -1.0587911840678754e-22, 5.293955920339377e-23, 0.0, 0.0, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, -6.617444900424222e-24, 5.293955920339377e-23, 0.0, 5.293955920339377e-23, 0.0, -2.6469779601696886e-23, 0.0, 0.0, -2.6469779601696886e-23, 0.0, -8.271806125530277e-25, -4.235164736271502e-22, -2.117582368135751e-22, -2.6469779601696886e-23, -6.617444900424222e-24, 0.0, 0.0, -8.271806125530277e-25, 1.6543612251060553e-24, 0.0, -8.470329472543003e-22, -1.0587911840678754e-22, 0.0, -5.293955920339377e-23, 0.0, 5.293955920339377e-23, -2.117582368135751e-22, -2.117582368135751e-22, 0.0]"
B00112DRHY,"[1.0587911840678754e-22, 0.0, 0.0, -6.617444900424222e-24, -5.293955920339377e-23, 2.117582368135751e-22, -5.293955920339377e-23, 0.0, 0.0, -5.169878828456423e-26, -1.3234889800848443e-23, 0.0, 0.0, -1.0339757656912846e-25, -2.6469779601696886e-23, 0.0, 0.0, 5.293955920339377e-23, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3234889800848443e-23, 0.0, 0.0, 0.0, -3.308722450212111e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, 6.462348535570529e-27, 4.1359030627651384e-25, -5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, 0.0, -4.1359030627651384e-25, 6.617444900424222e-24, 0.0, 0.0, 5.293955920339377e-23, 0.0, 0.0, -8.271806125530277e-25, 0.0, -6.617444900424222e-24, 6.462348535570529e-27, -1.0587911840678754e-22, 0.0, 8.271806125530277e-25, 0.0, -1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6543612251060553e-24, -1.6543612251060553e-24, 0.0]"
B0011FYB5I,"[0.0, 0.0, 0.0, 0.0, 4.1359030627651384e-25, 3.308722450212111e-24, 0.0, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, -1.0587911840678754e-22, -6.462348535570529e-27, 0.0, 6.617444900424222e-24, 0.0, 1.6940658945086007e-21, -3.308722450212111e-24, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6543612251060553e-24, 3.308722450212111e-24, -1.6543612251060553e-24, 0.0, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, 5.293955920339377e-23, 0.0, 0.0, 6.617444900424222e-24, -2.0679515313825692e-25, -3.308722450212111e-24, -1.6543612251060553e-24, -1.0587911840678754e-22, 1.0339757656912846e-25, 0.0, 0.0, 2.6469779601696886e-23, -6.617444900424222e-24, 0.0, -8.271806125530277e-25, 0.0, -3.308722450212111e-24, 0.0, 0.0, 1.0339757656912846e-25, 4.235164736271502e-22, 0.0, -1.3234889800848443e-23, -3.308722450212111e-24, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 1.6543612251060553e-24, -1.6543612251060553e-24, 3.308722450212111e-24, 2.6469779601696886e-23, 3.308722450212111e-24, 1.6543612251060553e-24, 8.271806125530277e-25, -1.3234889800848443e-23, 0.0]"
